wilayah,x,y
Aceh,58.46,63.25
Sumatera Utara,51.72,59.88
Sumatera Barat,69.37,62.95
Riau,70.98,61.92
Jambi,72.23,58.54
Sumatera Selatan,74.35,59.51
Bengkulu,66.32,57.6
Lampung,59.99,53.98
Kap. Bangka Belitung,61.66,60.37
Kepulauan Riau,72.87,64.73
DKI Jakarta,80.87,68.64
Jawa Barat,72.73,58.28
Jawa Tengah,74.36,53.36
DI Yogyakarta,86.36,57.72
Jawa Timur,74.73,54.7
Banten,71.03,59.01
Bali,70.88,63.74
Nusa Tenggara Barat,67.42,59.59
Nusa Tenggara Timur,67.61,49.25
Kalimantan Barat,65.32,55.84
Kalimantan Tengah,54.26,57.2
Kalimantan Selatan,75.71,56.03
Kalimantan Timur,69.22,64.95
Kalimantan Utara,66.56,57
Sulawesi Utara,66.07,49.6
Sulawesi tengah,69.93,54.03
Sulawesi Selatan,78.49,58.05
Sulawesi Tenggara,69.93,62.84
Gorontalo,61.95,63.55
Sulawesi Barat,41.36,50.9
Maluku,49.77,51.88
Maluku Barat,46.81,55.2
Papua Barat,37.58,50.14
Papua,20.02,29.13
Indonesia,13.55,57.4
